Appr_Stat;Reference;DEM;DEM_Error;Hill;Hill_Error;Aspect;Aspect_Error;Slope;Slope_Error;PCA_1;PCA_1_Error
Bodin et al. 2018;X2015_2012_1;T2_DEM_60 xyzDispAnnual;T2_DEM_60 xyzDispAnnualError;T2_Hill_60 xyzDispAnnual;T2_Hill_60 xyzDispAnnualError;T2_Aspect_60 xyzDispAnnual;T2_Aspect_60 xyzDispAnnualError;T2_Slope_60 xyzDispAnnual;T2_Slope_60 xyzDispAnnualError;T2_PCA1_60 xyzDispAnnual;T2_PCA1_60 xyzDispAnnualError
Min;0.1787;0.135;0.0437;0.0952;0.0835;0.111;0.0519;0.0702;0.1086;0.1081;0.0568
Qu1.25%;10.853;0.5781;0.3624;0.6013;0.3026;0.5571;0.2988;0.65;0.2617;0.482;0.2955
Median;15.032;0.8609;0.5055;0.8883;0.4446;0.8549;0.4398;0.7474;0.3429;10.449;0.3693
Mean;13.084;0.8097;0.4987;0.8224;0.486;0.7807;0.5498;0.8125;0.4784;0.8832;0.4252
Qu3.75%;16.046;10.416;0.6797;10.724;0.6094;10.209;0.9151;11.559;0.4558;11.918;0.4707
Max;20.302;15.573;0.9734;12.748;11.777;13.214;11.614;14.771;13.802;15.487;12.765
IQR;0.5194;0.4635;0.3173;0.4711;0.3068;0.4637;0.6163;0.5059;0.1941;0.7098;0.1752
SD;0.5088;0.3519;0.284;0.3434;0.2976;0.3396;0.3679;0.3825;0.3527;0.4338;0.3099
N;18;18;18;18;18;18;18;18;18;18;18
Na;0;0;0;0;0;1;1;1;1;0;0
RMSE;-;0.57;-;0.5656;-;0.6555;-;0.5881;-;0.5211;-
Rsquared;-;0.7115;-;0.6802;-;0.4926;-;0.5379;-;0.6322;-
MAE;-;0.4987;-;0.486;-;0.5498;-;0.4784;-;0.4252;-
;;;;;;;;;;;
Expert based;XYZ Displacement year;T2_DEM_60 xyzDispAnnual;T2_DEM_60 xyzDispAnnualError;T2_Hill_60 xyzDispAnnual;T2_Hill_60 xyzDispAnnualError;T2_Aspect_60 xyzDispAnnual;T2_Aspect_60 xyzDispAnnualError;T2_Slope_60 xyzDispAnnual;T2_Slope_60 xyzDispAnnualError;T2_PCA1_60 xyzDispAnnual;T2_PCA1_60 xyzDispAnnualError
Min;0.0232;0.189;-0.2;0.0584;-0.2184;0.0549;-0.215;0.0425;-0.2312;0.0545;-0.2163
Qu1.25%;0.3723;0.5241;-0.0747;0.4459;-0.0645;0.4436;-0.0561;0.427;-0.0668;0.4274;-0.0869
Median;0.9278;0.7553;0.0805;0.6809;0.0248;0.7292;-0.0079;0.5911;0.0144;0.9668;-0.0337
Mean;0.7778;0.7886;0.0947;0.7151;0.1377;0.7249;0.1279;0.7174;0.118;0.8142;0.0386
Qu3.75%;11.695;10.547;0.2582;10.933;0.3322;10.853;0.231;11.142;0.1547;11.442;0.0381
Max;15.408;16.008;0.6278;12.149;0.7506;12.343;0.7722;15.795;0.7596;15.428;0.9514
IQR;0.7972;0.5306;0.3329;0.6474;0.3967;0.6417;0.2871;0.6871;0.2215;0.7168;0.125
SD;0.4784;0.3607;0.2262;0.3848;0.2779;0.3778;0.2945;0.4125;0.3031;0.4404;0.2603
N;31;31;31;31;31;31;31;31;31;31;31
Na;0;4;4;3;3;3;3;4;4;3;3
RMSE;-;0.2414;-;0.3056;-;0.3162;-;0.32;-;0.2585;-
Rsquared;-;0.7063;-; 0.6099;-;0.5637;-;0.5594;-;0.681;-
MAE;-;0.1857;-;0.2206;-;0.207;-;0.2037;-;0.1488;-
