Appr_stats;Reference;XYZ_Disp;XYZ_DispError;XYZ_Disp;XYZ_DispError;XYZ_Disp;XYZ_DispError
Bodin et al. 2018;X2015_2012_1;xyz_idw_aspcor DEM128_64_01 ;xyz_idw_aspcor DEM128_64_01 Error;xyz_idw_aspcor DEM256_128_01 ;xyz_idw_aspcor DEM256_64_01 Error;xyz_idw_aspcor DEM256_64_01 ;xyz_idw_aspcor DEM256_128_01 Error
Min;0.1787;0.158;0.0207;0.1017;-0.3666;0.1317;-0.0225
Qu1.25%;10.853;0.421;0.6029;0.6548;0.1835;0.8513;0.2715
Median;15.032;0.4685;0.9607;0.9322;0.333;11.505;0.4231
Mean;13.084;0.4537;0.8547;0.8472;0.2557;10.528;0.4092
Qu3.75%;16.046;0.5169;11.712;10.884;0.4133;12.241;0.483
Max;20.302;0.5971;15.127;11.885;0.5127;16.017;12.903
IQR;0.5194;0.0958;0.5683;0.4336;0.2299;0.3728;0.2114
SD;0.5088;0.1073;0.4469;0.3328;0.2427;0.4051;0.3139
N;18;18;18;18;18;18;18
Na;0;0;0;2;0;0;2
RMSE;-;0.9588;-;0.5097;-;0.3479;-
Rsquared;-;0.4184;-;0.6321;-;0.78;-
MAE;-;0.8547;-;0.412;-;0.3241;-
;;;;;;;
Expert based;XYZ_Displacement_year;xyz_idw_aspcor DEM128_64_01 ;xyz_idw_aspcor DEM128_64_01 Error;xyz_idw_aspcor DEM256_128_01 ;xyz_idw_aspcor DEM256_128_01 Error;xyz_idw_aspcor DEM256_64_01 ;xyz_idw_aspcor DEM256_64_01 Error
Min;0.0232;0.0483;-0.129;0.0454;-0.1665;0.046;-0.8782
Qu1.25%;0.3723;0.3108;0.0059;0.2332;-0.0525;0.4638;-0.1483
Median;0.9278;0.4211;0.4808;0.7279;0.0027;11.032;-0.0749
Mean;0.7778;0.3794;0.3984;0.666;0.0385;0.8843;-0.1065
Qu3.75%;11.695;0.4969;0.6935;10.808;0.0718;12.173;-0.0124
Max;15.408;0.5575;10.268;11.626;0.709;16.157;0.0961
IQR;0.7972;0.1861;0.6876;0.8476;0.1243;0.7535;0.1359
SD;0.4784;0.1526;0.3646;0.4296;0.1712;0.4756;0.1785
N;31;31;31;31;31;31;31
Na;0;0;0;5;5;0;0
RMSE;-;0.5361;-;0.1722;-;0.2053;-
Rsquared;-;0.667;-;0.8748;-;0.865;-
MAE;-;0.4225;-;0.1058;-;0.1292;-
