"","X2015_2012_1","T1_Aspect_60_IJ_direct_xyDispAnual","T1_Aspect_60_IJ_direct_xyzDispAnual","T1_Aspect_60_IJ_direct_xyDispAnualError","T1_Aspect_60_IJ_direct_xyzDispAnualError","xy_R_squared","xyz_R_squared"
"Min","0.1787","0.1108","0.111","0.0679","0.0519","RMSE: 0.7238","RMSE: 0.6555"
"Qu1.25%","1.0853","0.468","0.5571","0.3188","0.2988","Rsquared: 0.3897","Rsquared: 0.4926"
"Median","1.5032","0.66","0.8549","0.4563","0.4398","MAE: 0.6093","MAE: 0.5498"
"Mean","1.3084","0.7211","0.7807","0.6093","0.5498",NA,NA
"Qu3.75%","1.6046","1.0009","1.0209","0.9193","0.9151",NA,NA
"Max","2.0302","1.1933","1.3214","1.3758","1.1614",NA,NA
"IQR","0.5194","0.5329","0.4637","0.6005","0.6163",NA,NA
"SD","0.5088","0.3212","0.3396","0.4027","0.3679",NA,NA
"N","18","18","18","18","18",NA,NA
"Na","0","1","1","1","1",NA,NA
