"","X2015_2012_1","T1_DEM_61_IJ_direct_xyDispAnual","T1_DEM_61_IJ_direct_xyzDispAnual","T1_DEM_61_IJ_direct_xyDispAnualError","T1_DEM_61_IJ_direct_xyzDispAnualError","xy_R_squared","xyz_R_squared"
"Min","0.1787","0.1442","0.1479","-1.9364","-2.5644","RMSE: 0.7967","RMSE: 0.847"
"Qu1.25%","1.0853","0.5293","0.5777","0.216","0.1728","Rsquared: 0.0591","Rsquared: 0.0499"
"Median","1.5032","0.776","0.884","0.4778","0.4155","MAE: 0.6425","MAE: 0.6298"
"Mean","1.3084","0.9084","1.0019","0.4","0.3065",NA,NA
"Qu3.75%","1.6046","1.0698","1.0905","0.8818","0.7386",NA,NA
"Max","2.0302","2.8699","3.4978","1.2467","1.0621",NA,NA
"IQR","0.5194","0.5404","0.5128","0.6658","0.5658",NA,NA
"SD","0.5088","0.6326","0.7573","0.7089","0.8125",NA,NA
"N","18","18","18","18","18",NA,NA
"Na","0","0","0","0","0",NA,NA
