"","Index","XY_Displacement_year","XYZ_Displacement_year","T1_PCA1_60_IJ_direct_xyDispAnual","T1_PCA1_60_IJ_direct_xyzDispAnual","T1_PCA1_60_IJ_direct_xyDispAnualError","T1_PCA1_60_IJ_direct_xyzDispAnualError","xy_R_squared","xyz_R_squared"
"Min","0","0","0.0232","0.0545","0.0545","-0.2181","-0.2163","RMSE: 0.2614","RMSE: 0.2585"
"Qu1.25%","7.5","0.2787","0.3723","0.3735","0.4274","-0.0873","-0.0869","Rsquared: 0.6482","Rsquared: 0.681"
"Median","15","0.9124","0.9278","0.9041","0.9668","-0.0253","-0.0337","MAE: 0.1436","MAE: 0.1488"
"Mean","15","0.7088","0.7778","0.7459","0.8142","0.0388","0.0386",NA,NA
"Qu3.75%","22.5","1.111","1.1695","1.0941","1.1442","0.033","0.0381",NA,NA
"Max","30","1.3583","1.5408","1.2653","1.5428","1.0109","0.9514",NA,NA
"IQR","15","0.8323","0.7972","0.7206","0.7168","0.1204","0.125",NA,NA
"SD","9.0921","0.4734","0.4784","0.4069","0.4404","0.2632","0.2603",NA,NA
"N","31","31","31","31","31","31","31",NA,NA
"Na","0","0","0","3","3","3","3",NA,NA
