"","X2015_2012_1","T1_Slope_60_IJ_direct_xyDispAnual","T1_Slope_60_IJ_direct_xyzDispAnual","T1_Slope_60_IJ_direct_xyDispAnualError","T1_Slope_60_IJ_direct_xyzDispAnualError","xy_R_squared","xyz_R_squared"
"Min","0.1787","0.0675","0.0702","0.1112","0.1086","RMSE: 0.6474","RMSE: 0.5881"
"Qu1.25%","1.0853","0.5551","0.65","0.3056","0.2617","Rsquared: 0.4703","Rsquared: 0.5379"
"Median","1.5032","0.6948","0.7474","0.3689","0.3429","MAE: 0.5338","MAE: 0.4784"
"Mean","1.3084","0.757","0.8125","0.5338","0.4784",NA,NA
"Qu3.75%","1.6046","1.1246","1.1559","0.7485","0.4558",NA,NA
"Max","2.0302","1.2285","1.4771","1.4751","1.3802",NA,NA
"IQR","0.5194","0.5695","0.5059","0.4429","0.1941",NA,NA
"SD","0.5088","0.3604","0.3825","0.3776","0.3527",NA,NA
"N","18","18","18","18","18",NA,NA
"Na","0","1","1","1","1",NA,NA
