"","Index","XY_Displacement_year","XYZ_Displacement_year","T2_DEM_60_4_1_IJ_direct_xyDispAnual","T2_DEM_60_4_1_IJ_direct_xyzDispAnual","T2_DEM_60_4_1_IJ_direct_xyDispAnualError","T2_DEM_60_4_1_IJ_direct_xyzDispAnualError","xy_R_squared","xyz_R_squared"
"Min","0","0","0.0232","0.1699","0.1896","-0.6197","-0.6407","RMSE: 0.3037","RMSE: 0.3064"
"Qu1.25%","7.5","0.2787","0.3723","0.5524","0.5942","-0.1432","-0.1456","Rsquared: 0.5298","Rsquared: 0.5585"
"Median","15","0.9124","0.9278","0.6678","0.7446","-0.0644","-0.0192","MAE: 0.2353","MAE: 0.2334"
"Mean","15","0.7088","0.7778","0.7739","0.8334","0.0289","0.0396",NA,NA
"Qu3.75%","22.5","1.111","1.1695","1.0958","1.1864","0.2024","0.2103",NA,NA
"Max","30","1.3583","1.5408","1.594","1.6421","0.603","0.6509",NA,NA
"IQR","15","0.8323","0.7972","0.5435","0.5921","0.3456","0.356",NA,NA
"SD","9.0921","0.4734","0.4784","0.4198","0.4472","0.3083","0.3098",NA,NA
"N","31","31","31","31","31","31","31",NA,NA
"Na","0","0","0","5","5","5","5",NA,NA
