Bodin et al. 2017;X2015_2012_1;T1_DEM_60_IJ_direct_xyzDispAnual;T1_DEM_60_IJ_direct_xyzDispAnualError;T1_DEM_61_IJ_direct_xyzDispAnual;T1_DEM_61_IJ_direct_xyzDispAnualError
Min;0.1787;0.135;0.0437;0.1479;-2.5644
Qu1.25%;1.0853;0.5781;0.3624;0.5777;0.1728
Median;1.5032;0.8609;0.5055;0.884;0.4155
Mean;1.3084;0.8097;0.4987;1.0019;0.3065
Qu3.75%;1.6046;1.0416;0.6797;1.0905;0.7386
Max;2.0302;1.5573;0.9734;3.4978;1.0621
IQR;0.5194;0.4635;0.3173;0.5128;0.5658
SD;0.5088;0.3519;0.284;0.7573;0.8125
N;18;18;18;18;18
Na;0;0;0;0;0
RMSE;-;0.57;-;0.847;-
Rsquared;-;0.7115;-;0.0499;-
MAE;-;0.4987;-;0.6298;-
Expert based;XYZ_Displacement_year;T1_DEM_60_IJ_direct_xyzDispAnual;T1_DEM_60_IJ_direct_xyzDispAnualError;T1_DEM_61_IJ_direct_xyzDispAnual;T1_DEM_61_IJ_direct_xyzDispAnualError
Min;0.0232;0.189;-0.2;0.1959;-0.2985
Qu1.25%;0.3723;0.5241;-0.0747;0.5253;-0.085
Median;0.9278;0.7553;0.0805;0.7243;0.0475
Mean;0.7778;0.7886;0.0947;0.7664;0.1169
Qu3.75%;1.1695;1.0547;0.2582;1.053;0.2358
Max;1.5408;1.6008;0.6278;1.5423;0.6863
IQR;0.7972;0.5306;0.3329;0.5277;0.3208
SD;0.4784;0.3607;0.2262;0.3677;0.2715
N;31;31;31;31;31
Na;0;4;4;4;4
RMSE;-;0.2414;-;0.291;-
Rsquared;-;0.7063;-;0.5892;-
MAE;-;0.1857;-;0.214;-
